#{"t_start": 1786597425.619332, "env_id": "None"}
r,l,t
177.0,200,126.230626
180.25,200,126.317273
192.0,200,126.404351
208.75,200,126.490691
184.25,200,126.579009
189.75,200,126.66696
197.5,200,127.460406
184.5,200,127.560552
198.25,200,127.652076
210.25,200,127.744202
200.0,200,127.831277
187.75,200,127.919378
195.0,200,128.006654
209.0,200,128.09213
200.5,200,128.178936
188.25,200,128.267118
212.75,200,129.060681
205.0,200,129.161325
200.0,200,129.25473
198.25,200,129.341324
198.5,200,129.43028
196.5,200,129.516571
196.25,200,129.603467
166.0,200,129.69112
185.0,200,129.776439
171.25,200,129.863986
182.0,200,130.614375
171.5,200,130.715108
181.5,200,130.809173
194.75,200,130.896196
209.75,200,130.984368
195.25,200,131.071814
190.75,200,131.156946
191.0,200,131.243954
195.75,200,131.330689
195.5,200,131.418266
202.25,200,131.505333
207.0,200,132.287176
180.5,200,132.385757
186.5,200,132.472441
212.75,200,132.560717
200.0,200,132.647781
203.0,200,132.73615
186.5,200,132.822663
209.5,200,132.909224
183.0,200,132.996138
186.0,200,133.083521
161.75,200,133.850615
199.5,200,133.950687
183.75,200,134.041923
182.75,200,134.128217
172.0,200,134.216351
206.5,200,134.303488
201.0,200,134.390541
215.75,200,134.477119
192.0,200,134.56477
169.0,200,134.652045
200.5,200,135.452466
180.0,200,135.552008
183.75,200,135.645622
183.75,200,135.736064
203.0,200,135.824186
202.75,200,135.917661
200.75,200,136.005619
183.75,200,136.092044
187.0,200,136.178605
216.75,200,136.267099
190.25,200,137.047577
207.5,200,137.146869
198.25,200,137.241666
180.5,200,137.328743
200.25,200,137.418565
181.75,200,137.505864
207.25,200,137.591825
210.0,200,137.679066
187.5,200,137.765148
202.25,200,137.852551
196.0,200,137.940469
202.5,200,138.728914
189.0,200,138.830507
171.75,200,138.918527
198.75,200,139.022244
209.5,200,139.109298
197.5,200,139.196103
200.0,200,139.283457
196.5,200,139.37059
187.75,200,139.456513
197.75,200,139.542947
189.75,200,140.34608
201.25,200,140.445652
197.0,200,140.536259
191.5,200,140.625217
205.5,200,140.710435
178.25,200,140.798599
212.25,200,140.886514
183.75,200,140.97327
181.5,200,141.060993
200.25,200,141.147161
199.25,200,141.93884
207.75,200,142.027942
208.0,200,142.11651
188.25,200,142.202437
188.0,200,142.290507
183.25,200,142.377905
209.25,200,142.465204
189.0,200,142.55377
207.0,200,142.640369
188.5,200,142.726825
205.0,200,143.536012
203.75,200,143.634086
201.75,200,143.731634
177.25,200,143.818398
209.5,200,143.905929
182.5,200,143.992838
211.25,200,144.078468
181.25,200,144.164363
183.0,200,144.250789
169.0,200,144.337059
165.0,200,145.122418
187.75,200,145.22299
193.25,200,145.320621
213.25,200,145.407921
188.5,200,145.495894
202.75,200,145.582338
197.0,200,145.669333
188.0,200,145.756098
205.0,200,145.843679
195.0,200,145.928935
200.75,200,146.017007
179.75,200,146.81775
191.75,200,146.917615
180.0,200,147.007307
198.75,200,147.101207
209.25,200,147.187925
199.0,200,147.274992
211.75,200,147.362159
203.75,200,147.44872
196.0,200,147.53533
190.0,200,147.621901
167.5,200,148.403211
178.25,200,148.503291
213.25,200,148.599317
210.75,200,148.686948
222.5,200,148.776746
219.5,200,148.864189
199.75,200,148.950253
221.0,200,149.036935
214.0,200,149.129221
202.25,200,149.216599
200.75,200,149.992243
182.75,200,150.100389
186.25,200,150.191216
191.25,200,150.279159
216.5,200,150.367129
206.25,200,150.453638
184.75,200,150.541704
199.0,200,150.628007
185.5,200,150.713682
194.75,200,150.798822
209.5,200,151.577619
204.0,200,151.678596
217.25,200,151.777636
197.5,200,151.865172
209.5,200,151.95365
178.75,200,152.040454
223.25,200,152.126656
204.25,200,152.220966
190.0,200,152.309586
208.75,200,152.395616
154.0,150,152.461091
201.75,200,153.2522
201.25,200,153.352159
191.5,200,153.444443
181.75,200,153.535679
204.5,200,153.622813
210.5,200,153.709405
117.5,116,153.758631
210.5,200,153.845698
206.25,200,153.931257
163.25,200,154.018591
199.75,200,154.104657
181.0,200,154.886106
192.5,200,154.986683
195.5,200,155.075245
183.0,200,155.163807
199.5,200,155.257938
208.5,200,155.345016
190.5,200,155.432569
146.5,153,155.499612
200.75,200,155.585178
202.75,200,155.671634
